mp,dir,offset,length,mpRef,profLft62ft,profRt62ft,alignLeft,alignRight,doc
 511,+1, 3704, 5319,511.70234,    NaN,561.92024,    NaN,    NaN,-0.45116
 511,+1, 3720, 5319,511.70525,    NaN,561.95581,    NaN,    NaN,-0.17970
 511,+1, 3735, 5319,511.70817,    NaN,561.94825,    NaN,    NaN, 0.21061
 511,+1, 3751, 5319,511.71108,    NaN,561.95111,    NaN,    NaN, 0.09655
 511,+1, 3766, 5319,511.71400,    NaN,562.05594,    NaN,    NaN, 0.10653
 511,+1, 3782, 5319,511.71691,    NaN,562.01044,    NaN,    NaN,-0.32252
 511,+1, 3797, 5319,511.71983,    NaN,562.04325,    NaN,    NaN,-0.25000
 511,+1, 3813, 5319,511.72274,    NaN,562.06119,    NaN,    NaN, 0.71610
 511,+1, 3828, 5319,511.72565,    NaN,562.08550,    NaN,    NaN, 0.23290
 511,+1, 3844, 5319,511.72857,    NaN,562.16606,    NaN,    NaN,-0.73737
 511,+1, 3859, 5319,511.73148,    NaN,562.12123,    NaN,    NaN, 0.35758
 511,+1, 3875, 5319,511.73440,    NaN,562.12664,    NaN,    NaN, 0.97808
 511,+1, 3890, 5319,511.73731,    NaN,562.08836,    NaN,    NaN,-0.28396
 511,+1, 3906, 5319,511.74023,    NaN,562.17003,    NaN,    NaN,-0.96218
 511,+1, 3921, 5319,511.74314,    NaN,562.16025,    NaN,    NaN,-0.16080
 511,+1, 3937, 5319,511.74605,    NaN,562.17914,    NaN,    NaN, 0.53892
 511,+1, 3952, 5319,511.74897,    NaN,562.23732,    NaN,    NaN,-0.25373
 511,+1, 3968, 5319,511.75188,    NaN,562.29900,    NaN,    NaN,-0.28992
 511,+1, 3983, 5319,511.75480,    NaN,562.30505,    NaN,    NaN, 0.20775
 511,+1, 3999, 5319,511.75771,    NaN,562.30356,    NaN,    NaN, 4.61361
 511,+1, 4014, 5319,511.76063,    NaN,562.36522,    NaN,    NaN,-4.81765
 511,+1, 4030, 5319,511.76355,    NaN,      NaN,    NaN,    NaN,     NaN
 511,+1, 4045, 5319,511.76651,    NaN,      NaN,    NaN,    NaN,     NaN
 511,+1, 4061, 5319,511.76943,    NaN,      NaN,    NaN,    NaN,     NaN
 511,+1, 4076, 5319,511.77238,    NaN,      NaN,    NaN,    NaN,     NaN
 511,+1, 4092, 5319,511.77532,    NaN,      NaN,    NaN,    NaN,     NaN
 511,+1, 4107, 5319,511.77861,    NaN,567.54147,    NaN,    NaN,-1.51960
 511,+1, 4123, 5319,511.78152,    NaN,568.51711,    NaN,    NaN,-1.17537
 511,+1, 4138, 5319,511.78444,    NaN,569.49277,    NaN,    NaN,-1.54231
 511,+1, 4154, 5319,511.78735,    NaN,563.49699,    NaN,    NaN,-1.24458
 511,+1, 4169, 5319,511.79027,    NaN,562.67966,    NaN,    NaN,-0.22802
 511,+1, 4185, 5319,511.79318,    NaN,562.80884,    NaN,    NaN, 0.00741
 511,+1, 4200, 5319,511.79609,    NaN,562.79874,    NaN,    NaN,-0.12772
 511,+1, 4216, 5319,511.79901,    NaN,562.84112,    NaN,    NaN,-0.45737
 511,+1, 4231, 5319,511.80192,    NaN,562.84236,    NaN,    NaN,-0.09935
 511,+1, 4247, 5319,511.80484,    NaN,562.84427,    NaN,    NaN, 0.25101
 511,+1, 4262, 5319,511.80775,    NaN,562.88206,    NaN,    NaN, 0.10741
 511,+1, 4278, 5319,511.81067,    NaN,562.84835,    NaN,    NaN, 0.05415
 511,+1, 4293, 5319,511.81358,    NaN,562.90872,    NaN,    NaN,-0.10923
 511,+1, 4309, 5319,511.81649,    NaN,562.99145,    NaN,    NaN, 0.03561
 511,+1, 4324, 5319,511.81941,    NaN,562.96809,    NaN,    NaN, 0.05529
 511,+1, 4340, 5319,511.82232,    NaN,562.99885,    NaN,    NaN, 0.23642
 511,+1, 4355, 5319,511.82524,    NaN,562.97959,    NaN,    NaN, 0.12163
 511,+1, 4371, 5319,511.82815,    NaN,563.00337,    NaN,    NaN,-0.29463
 511,+1, 4386, 5319,511.83107,    NaN,562.96355,    NaN,    NaN,-0.37805
 511,+1, 4402, 5319,511.83398,    NaN,562.97333,    NaN,    NaN, 0.04151
 511,+1, 4417, 5319,511.83689,    NaN,563.02243,    NaN,    NaN, 0.23948
 511,+1, 4433, 5319,511.83981,    NaN,563.08046,    NaN,    NaN, 0.07928
 511,+1, 4448, 5319,511.84272,    NaN,563.10488,    NaN,    NaN, 0.05795
 511,+1, 4464, 5319,511.84564,    NaN,563.11052,    NaN,    NaN,-0.11343
 511,+1, 4479, 5319,511.84855,    NaN,563.16636,    NaN,    NaN,-0.03823
 511,+1, 4495, 5319,511.85147,    NaN,563.18596,    NaN,    NaN, 0.02479
 511,+1, 4510, 5319,511.85438,    NaN,563.21424,    NaN,    NaN,-0.03339
 511,+1, 4526, 5319,511.85729,    NaN,563.26822,    NaN,    NaN, 0.50925
 511,+1, 4541, 5319,511.86021,    NaN,563.29801,    NaN,    NaN, 0.33317
 511,+1, 4557, 5319,511.86312,    NaN,563.31766,    NaN,    NaN,-0.50218
 511,+1, 4572, 5319,511.86604,    NaN,563.35253,    NaN,    NaN, 0.03701
