PointID,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation
6142_B,38.41803687,-82.36081955,459.827,13953629.03,1250662.985,561.381
6143_B,38.41803458,-82.36084382,459.835,13953628.3,1250656.021,561.388
6144_B,38.41803235,-82.36086804,459.808,13953627.59,1250649.072,561.361
6145_B,38.41803017,-82.36089207,459.819,13953626.9,1250642.176,561.372
6146_B,38.41802799,-82.36091592,459.833,13953626.2,1250635.334,561.386
6147_B,38.41802582,-82.36093951,459.835,13953625.52,1250628.565,561.388
6148_B,38.41802367,-82.36096291,459.824,13953624.83,1250621.852,561.377
6149_B,38.41802147,-82.3609861,459.834,13953624.13,1250615.196,561.386
6150_B,38.41801933,-82.36100911,459.843,13953623.45,1250608.595,561.395
6151_B,38.41801721,-82.36103192,459.838,13953622.77,1250602.05,561.391
6152_B,38.41801515,-82.36105445,459.826,13953622.12,1250595.585,561.378
6153_B,38.41801304,-82.3610767,459.844,13953621.44,1250589.201,561.397
6154_B,38.418011,-82.36109877,459.84,13953620.79,1250582.871,561.392
6155_B,38.41800899,-82.36112059,459.852,13953620.15,1250576.609,561.404
6156_B,38.418007,-82.36114214,459.816,13953619.52,1250570.426,561.368
6157_B,38.41800507,-82.36116339,459.825,13953618.91,1250564.331,561.377
6158_B,38.41800336,-82.36118174,459.833,13953618.36,1250559.066,561.385
6159_B,38.41800114,-82.36120505,459.846,13953617.65,1250552.377,561.399
6160_B,38.41799921,-82.36122548,459.862,13953617.04,1250546.515,561.414
6161_B,38.4179973,-82.36124563,459.881,13953616.43,1250540.733,561.433
6162_B,38.41799545,-82.3612655,459.853,13953615.84,1250535.031,561.405
6163_B,38.41799364,-82.36128512,459.856,13953615.26,1250529.403,561.408
6164_B,38.41799184,-82.36130453,459.875,13953614.69,1250523.832,561.427
6165_B,38.41799008,-82.36132367,459.869,13953614.13,1250518.34,561.421
6166_B,38.4179883,-82.36134252,459.881,13953613.56,1250512.933,561.433
6167_B,38.41798664,-82.36136099,459.845,13953613.03,1250507.632,561.396
6168_B,38.41798497,-82.36137924,459.85,13953612.5,1250502.396,561.402
6169_B,38.41798334,-82.36139716,459.854,13953611.99,1250497.255,561.406
6170_B,38.41798167,-82.36141483,459.837,13953611.45,1250492.184,561.389
6171_B,38.41798007,-82.36143227,459.825,13953610.94,1250487.182,561.376
6172_B,38.41797771,-82.36145771,459.834,13953610.19,1250479.883,561.385
6173_B,38.41797546,-82.36148217,459.831,13953609.48,1250472.864,561.382
6174_B,38.4179735,-82.36150356,459.789,13953608.85,1250466.725,561.34
6175_B,38.4179712,-82.36152747,459.844,13953608.12,1250459.867,561.395
6176_B,38.41796927,-82.36154828,459.848,13953607.5,1250453.895,561.399
6177_B,38.4179674,-82.36156789,459.876,13953606.9,1250448.268,561.427
6178_B,38.41796562,-82.36158648,459.886,13953606.33,1250442.933,561.437
6179_B,38.417964,-82.36160445,459.9,13953605.82,1250437.778,561.451
6180_B,38.41796239,-82.361622,459.927,13953605.31,1250432.744,561.478
6181_B,38.41796029,-82.36164487,459.877,13953604.64,1250426.182,561.428
6182_B,38.41795833,-82.36166635,459.936,13953604.02,1250420.017,561.487
6183_B,38.41795655,-82.361685,459.956,13953603.45,1250414.667,561.507
6184_B,38.41795495,-82.36170307,459.963,13953602.95,1250409.482,561.514
