Brb2Rus012010,Y:\Documents\Engineering\Data\LOR\Brb2Rus012010,
UTM,17 North,(WGS 84),GEOID03 (Conus)
coord units ft, elevation units ft, distance units ft
PointID,FeatureCode,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation,AntennaHeight,StartTime,0,0,0,HorizontalPrecision,VerticalPrecision,RMS,MaxPDOP,MaxHDOP,MaxVDOP,NbrGPSpos,MinSatellites
1107,RailT2,+38.412533777,-82.291372827,479.997,13951342.173,1270525.003,581.677,6.995,10:50:11 20 Jan 2010,0,0,0,0.024,0.038,0.003,,,,1,12
1108,RailT2,+38.412543854,-82.291386040,480.007,13951345.895,1270521.270,581.687,6.995,10:50:12 20 Jan 2010,0,0,0,0.027,0.042,0.003,,,,1,12
1109,RailT2,+38.412553835,-82.291399037,479.929,13951349.581,1270517.598,581.609,6.995,10:50:13 20 Jan 2010,0,0,0,0.027,0.042,0.003,,,,1,12
1110,RailT2,+38.412564310,-82.291412646,479.932,13951353.449,1270513.753,581.612,6.995,10:50:14 20 Jan 2010,0,0,0,0.027,0.042,0.003,,,,1,12
1111,RailT2,+38.412574052,-82.291425106,479.882,13951357.045,1270510.233,581.562,6.995,11:06:01 20 Jan 2010,0,0,0,0.023,0.042,0.003,,,,1,12
1112,RailT2,+38.412584565,-82.291438808,479.897,13951360.928,1270506.362,581.578,6.995,11:06:04 20 Jan 2010,0,0,0,0.020,0.038,0.002,,,,1,11
1113,RailT2,+38.412595169,-82.291452401,479.885,13951364.843,1270502.522,581.565,6.995,11:06:06 20 Jan 2010,0,0,0,0.020,0.038,0.002,,,,1,11
1114,RailT2,+38.412605731,-82.291465959,479.871,13951368.743,1270498.693,581.551,6.995,11:06:07 20 Jan 2010,0,0,0,0.017,0.032,0.002,,,,1,11
1115,RailT2,+38.412617015,-82.291480377,479.851,13951372.909,1270494.620,581.532,6.995,11:06:09 20 Jan 2010,0,0,0,0.017,0.032,0.002,,,,1,11
1116,RailT2,+38.412627243,-82.291493508,479.855,13951376.685,1270490.911,581.535,6.995,11:06:10 20 Jan 2010,0,0,0,0.020,0.038,0.002,,,,1,11
1117,RailT2,+38.412637996,-82.291507018,479.842,13951380.654,1270487.096,581.523,6.995,11:06:11 20 Jan 2010,0,0,0,0.020,0.038,0.002,,,,1,11
1118,RailT2,+38.412649117,-82.291521043,479.798,13951384.759,1270483.136,581.478,6.995,11:06:12 20 Jan 2010,0,0,0,0.020,0.038,0.002,,,,1,11
1119,RailT2,+38.412660714,-82.291535706,479.762,13951389.040,1270478.995,581.442,6.995,11:06:14 20 Jan 2010,0,0,0,0.020,0.038,0.002,,,,1,11
1120,RailT2,+38.412670780,-82.291548265,479.722,13951392.755,1270475.448,581.402,6.995,11:06:15 20 Jan 2010,0,0,0,0.017,0.033,0.002,,,,1,11
1121,RailT2,+38.412681103,-82.291561266,479.743,13951396.565,1270471.777,581.424,6.995,11:06:16 20 Jan 2010,0,0,0,0.020,0.038,0.002,,,,1,11
1122,RailT2,+38.412691741,-82.291574522,479.723,13951400.491,1270468.034,581.403,6.995,11:06:17 20 Jan 2010,0,0,0,0.020,0.038,0.002,,,,1,11
1123,RailT2,+38.412702819,-82.291588097,479.737,13951404.579,1270464.202,581.418,6.995,11:06:18 20 Jan 2010,0,0,0,0.023,0.044,0.003,,,,1,11
1124,RailT2,+38.412712980,-82.291600520,479.691,13951408.328,1270460.696,581.371,6.995,11:06:19 20 Jan 2010,0,0,0,0.020,0.038,0.003,,,,1,11
1125,RailT2,+38.412723272,-82.291613134,479.690,13951412.125,1270457.135,581.370,6.995,11:06:19 20 Jan 2010,0,0,0,0.020,0.038,0.002,,,,1,11
1126,RailT2,+38.412734601,-82.291627071,479.701,13951416.306,1270453.201,581.381,6.995,11:06:20 20 Jan 2010,0,0,0,0.017,0.033,0.002,,,,1,11
1127,RailT2,+38.412745239,-82.291640178,479.666,13951420.231,1270449.500,581.346,6.995,11:06:21 20 Jan 2010,0,0,0,0.023,0.044,0.003,,,,1,11
1128,RailT2,+38.412755894,-82.291653135,479.674,13951424.162,1270445.843,581.355,6.995,11:06:23 20 Jan 2010,0,0,0,0.020,0.038,0.002,,,,1,11
1129,RailT2,+38.412766620,-82.291666407,479.642,13951428.120,1270442.096,581.323,6.995,11:06:24 20 Jan 2010,0,0,0,0.023,0.044,0.003,,,,1,11
1130,RailT2,+38.412776905,-82.291678774,479.630,13951431.915,1270438.606,581.311,6.995,11:06:25 20 Jan 2010,0,0,0,0.017,0.033,0.002,,,,1,11
1131,RailT2,+38.412787741,-82.291691634,479.629,13951435.911,1270434.978,581.310,6.995,11:06:26 20 Jan 2010,0,0,0,0.020,0.038,0.002,,,,1,11
